function,Accuracy,RMSE,F1,F1 neg,tnr,fpr,fnr,tpr,tn,fp,fn,tp,split,home,direction
ground truth AR,0.9648,0.1877,0.9783,0.9055,0.881,0.119,0.0155,0.985,1160,156,86,5465,0.2,H1,normal
ground truth AR,0.9676,0.18,0.9817,0.86,0.789,0.211,0.00662,0.993,172,46,10,1500,0.2,H1,reverse
ground truth AR,0.9702,0.1727,0.9819,0.9161,0.9,0.1,0.0142,0.986,977,109,70,4847,0.3,H1,normal
ground truth AR,0.9676,0.18,0.9806,0.9023,0.866,0.134,0.0112,0.989,388,60,24,2120,0.3,H1,reverse
ground truth AR,0.9747,0.159,0.9847,0.9259,0.913,0.0866,0.0125,0.988,812,77,53,4197,0.4,H1,normal
ground truth AR,0.9656,0.1856,0.979,0.9047,0.876,0.124,0.0139,0.986,565,80,39,2772,0.4,H1,reverse
ground truth AR,0.9752,0.1575,0.9852,0.9226,0.909,0.0906,0.012,0.988,632,63,43,3537,0.5,H1,normal
ground truth AR,0.9678,0.1794,0.9802,0.9149,0.89,0.11,0.0135,0.986,747,92,47,3434,0.5,H1,reverse
ground truth AR,0.978,0.1483,0.987,0.9274,0.914,0.0859,0.0104,0.99,479,45,30,2857,0.6,H1,normal
ground truth AR,0.9651,0.1869,0.9785,0.9079,0.883,0.117,0.0151,0.985,892,118,63,4111,0.6,H1,reverse
ground truth AR,0.9882,0.1085,0.9937,0.9102,0.91,0.0898,0.0063,0.994,152,15,15,2365,0.7,H1,normal
ground truth AR,0.9575,0.2061,0.9728,0.9028,0.873,0.127,0.0179,0.982,1194,173,84,4597,0.7,H1,reverse
ground truth AR,0.9857,0.1194,0.9925,0.8588,0.849,0.151,0.00689,0.993,73,13,11,1586,0.8,H1,normal
ground truth AR,0.9602,0.1995,0.9751,0.9011,0.865,0.135,0.0146,0.985,1253,195,80,5384,0.8,H1,reverse
OR (aie),0.8084,0.4378,0.894,0.0,0.0,1.0,0.0,1.0,0,1316,0,5551,0.2,H1,normal
OR (aie),0.8738,0.3552,0.9327,0.0,0.0,1.0,0.0,1.0,0,218,0,1510,0.2,H1,reverse
OR (aie),0.8191,0.4253,0.9005,0.0,0.0,1.0,0.0,1.0,0,1086,0,4917,0.3,H1,normal
OR (aie),0.8272,0.4157,0.9054,0.0,0.0,1.0,0.0,1.0,0,448,0,2144,0.3,H1,reverse
OR (aie),0.827,0.4159,0.9053,0.0,0.0,1.0,0.0,1.0,0,889,0,4250,0.4,H1,normal
OR (aie),0.8134,0.432,0.8971,0.0,0.0,1.0,0.0,1.0,0,645,0,2811,0.4,H1,reverse
OR (aie),0.8374,0.4032,0.9115,0.0,0.0,1.0,0.0,1.0,0,695,0,3580,0.5,H1,normal
OR (aie),0.8058,0.4407,0.8924,0.0,0.0,1.0,0.0,1.0,0,839,0,3481,0.5,H1,reverse
OR (aie),0.8464,0.3919,0.9168,0.0,0.0,1.0,0.0,1.0,0,524,0,2887,0.6,H1,normal
OR (aie),0.8052,0.4414,0.8921,0.0,0.0,1.0,0.0,1.0,0,1010,0,4174,0.6,H1,reverse
OR (aie),0.9344,0.2561,0.9661,0.0,0.0,1.0,0.0,1.0,0,167,0,2380,0.7,H1,normal
OR (aie),0.774,0.4754,0.8726,0.0,0.0,1.0,0.0,1.0,0,1367,0,4681,0.7,H1,reverse
OR (aie),0.9489,0.2261,0.9738,0.0,0.0,1.0,0.0,1.0,0,86,0,1597,0.8,H1,normal
OR (aie),0.7905,0.4577,0.883,0.0,0.0,1.0,0.0,1.0,0,1448,0,5464,0.8,H1,reverse
OR (ai),0.4284,0.756,0.4731,0.3755,0.897,0.103,0.683,0.317,1180,136,3789,1762,0.2,H1,normal
OR (ai),0.5961,0.6356,0.7407,0.08639,0.151,0.849,0.34,0.66,33,185,513,997,0.2,H1,reverse
OR (ai),0.4263,0.7574,0.4824,0.3565,0.878,0.122,0.674,0.326,954,132,3312,1605,0.3,H1,normal
OR (ai),0.5451,0.6744,0.6619,0.3052,0.578,0.422,0.462,0.538,259,189,990,1154,0.3,H1,reverse
OR (ai),0.4279,0.7564,0.4833,0.3592,0.927,0.0731,0.676,0.324,824,65,2875,1375,0.4,H1,normal
OR (ai),0.513,0.6978,0.6219,0.3161,0.603,0.397,0.508,0.492,389,256,1427,1384,0.4,H1,reverse
OR (ai),0.4171,0.7635,0.4729,0.348,0.957,0.0432,0.688,0.312,665,30,2462,1118,0.5,H1,normal
OR (ai),0.5067,0.7023,0.6063,0.3396,0.653,0.347,0.529,0.471,548,291,1840,1641,0.5,H1,reverse
OR (ai),0.4298,0.7551,0.4986,0.3391,0.952,0.0477,0.665,0.335,499,25,1920,967,0.6,H1,normal
