,H1,H2,H3,H4,H5,H6
C,0.1,0.1,0.1,0.1,0.1,0.1
Intercept,-7.46,-3.74,-4.13,-2.01,-3.11,-3.83
audio,0.48,3.18,5.21,2.84,2.2,5.67
co2eq,0,0,0,0,0,0
cv,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
hr_cos,1.1,0.6,1.57,1.04,0.49,1.13
hr_sin,0.19,1.22,-0.32,0.24,0.14,0
img,0,2.93,0,0,0,0
lag1_occupied,7.32,6.42,6.42,5.71,7.74,7.44
lag2_occupied,-1.11,0,-0.26,-0.53,-1.58,-0.35
lag3_occupied,0,0,0,0,0,0
lag4_occupied,0,0,0.54,0,0,0
lag5_occupied,-0.15,0,0,0,0,0
lag6_occupied,-0.1,0,0,0.05,0,0
lag7_occupied,0,0,0,0,0,0
lag8_occupied,0,0,1.17,0,0,0
light,0,0,0,0,0,0
rh,0,0,0,0,0,0
temp,6.09,0,0,0,0,-0.21
weekend,0.69,0.17,0,0,0,0
