,H1,H2,H3,H4,H5,H6
C,0.1,0.1,0.1,0.1,0.1,0.1
Intercept,-7.457567635903345,-3.7406596753924712,-4.1287947937863905,-2.015069321367946,-3.1104494584623037,-3.8268681394253483
audio,0.4802175926482961,3.178901720311283,5.206792987427585,2.8376919037587327,2.2004913540104627,5.673672454195603
co2eq,0.0,0.0,0.0,0.0,0.0,0.0
cv,False,False,False,False,False,False
hr_cos,1.095192574802779,0.5990794231338062,1.5699291741555437,1.0425333431548856,0.49216270472006146,1.1302230181216704
hr_sin,0.19434968912283815,1.2171643792811007,-0.3189328806273487,0.23942046703316724,0.14006282847460313,0.0
img,0.0,2.9336404644630134,0.0,0.0,0.0,0.0
lag1_occupied,7.3164670780112075,6.417374332854795,6.4183148401124495,5.7077734573268994,7.742837792053191,7.443506944019582
lag2_occupied,-1.111110558030948,0.0,-0.25819567095016444,-0.5266796478267592,-1.5796149541964848,-0.350961264263701
lag3_occupied,0.0,0.0,0.0,0.0,0.0,0.0
lag4_occupied,0.0,0.0,0.5422770658526106,0.0,0.0,0.0
lag5_occupied,-0.145228349266717,0.0,0.0,0.0,0.0,0.0
lag6_occupied,-0.09822317534581795,0.0,0.0,0.046362285664213916,0.0,0.0
lag7_occupied,0.0,0.0,0.0,0.0,0.0,0.0
lag8_occupied,0.0,0.0,1.1696015329424605,0.0,0.0,0.0
light,0.0,0.0,0.0,0.0,0.0,0.0
rh,0.0,0.0,0.0,0.0,0.0,0.0
temp,6.086157446058666,0.0,0.0,0.0,0.0,-0.20519025564311597
weekend,0.6945215540555124,0.16847079937184725,0.0,0.0,0.0,0.0
