function,Accuracy,RMSE,F1,F1 neg,tnr,fpr,fnr,tpr,tn,fp,fn,tp,train,test,self/cross
AR ground truth,0.9757,0.156,0.9857,0.919,0.899,0.101,0.0104,0.99,471,53,30,2857,H1,H1,self
AR ground truth,0.9435,0.2378,0.957,0.9174,0.924,0.0759,0.0466,0.953,633,52,62,1269,H2,H2,self
AR ground truth,0.9506,0.2222,0.9699,0.8625,0.825,0.175,0.0205,0.98,624,132,67,3209,H3,H3,self
AR ground truth,0.9678,0.1796,0.9813,0.8812,0.855,0.145,0.0138,0.986,241,41,24,1710,H4,H4,self
AR ground truth,0.9688,0.1768,0.9825,0.8556,0.838,0.162,0.015,0.985,160,31,23,1514,H5,H5,self
AR ground truth,0.9455,0.2334,0.9092,0.9611,0.94,0.0603,0.0397,0.96,3100,199,52,1257,H6,H6,self
AR ground truth,0.9395,0.246,0.9531,0.9146,0.953,0.0467,0.0676,0.932,653,32,90,1241,H1,H2,cross
AR ground truth,0.9444,0.2357,0.9663,0.8409,0.783,0.217,0.0183,0.982,592,164,60,3216,H1,H3,cross
AR ground truth,0.2793,0.849,0.2789,0.2796,1.0,0.0,0.838,0.162,282,0,1453,281,H1,H4,cross
AR ground truth,0.963,0.1925,0.9793,0.8242,0.785,0.215,0.015,0.985,150,41,23,1514,H1,H5,cross
AR ground truth,0.8312,0.4109,0.5804,0.8943,0.998,0.00212,0.589,0.411,3292,7,771,538,H1,H6,cross
AR ground truth,0.9795,0.1433,0.988,0.9306,0.895,0.105,0.0052,0.995,469,55,15,2872,H2,H1,cross
AR ground truth,0.9489,0.226,0.9686,0.8627,0.856,0.144,0.0296,0.97,647,109,97,3179,H2,H3,cross
AR ground truth,0.9638,0.1903,0.9788,0.8744,0.901,0.0993,0.026,0.974,254,28,45,1689,H2,H4,cross
AR ground truth,0.9716,0.1684,0.9841,0.8665,0.832,0.168,0.0111,0.989,159,32,17,1520,H2,H5,cross
AR ground truth,0.9327,0.2594,0.8913,0.9513,0.918,0.0824,0.029,0.971,3027,272,38,1271,H2,H6,cross
AR ground truth,0.9683,0.1779,0.9816,0.8877,0.815,0.185,0.00381,0.996,427,97,11,2876,H3,H1,cross
AR ground truth,0.943,0.2388,0.9571,0.9148,0.901,0.0993,0.0353,0.965,617,68,47,1284,H3,H2,cross
AR ground truth,0.9618,0.1954,0.9778,0.8647,0.872,0.128,0.0236,0.976,246,36,41,1693,H3,H4,cross
AR ground truth,0.9647,0.1879,0.9804,0.8252,0.754,0.246,0.00911,0.991,144,47,14,1523,H3,H5,cross
AR ground truth,0.8854,0.3385,0.8293,0.9138,0.848,0.152,0.0199,0.98,2797,502,26,1283,H3,H6,cross
AR ground truth,0.9754,0.1569,0.9856,0.9145,0.857,0.143,0.00312,0.997,449,75,9,2878,H4,H1,cross
AR ground truth,0.942,0.2409,0.9565,0.9128,0.893,0.107,0.0331,0.967,612,73,44,1287,H4,H2,cross
AR ground truth,0.9501,0.2233,0.9697,0.8595,0.813,0.187,0.0183,0.982,615,141,60,3216,H4,H3,cross
AR ground truth,0.9682,0.1784,0.9823,0.8451,0.785,0.215,0.00911,0.991,150,41,14,1523,H4,H5,cross
